iter	Logloss
0	0.6172671622
1	0.5505318706
2	0.4939531741
3	0.4469110658
4	0.4012399897
5	0.3717827625
6	0.3385757855
7	0.3039259982
8	0.2769172466
9	0.2559793557
10	0.2447177471
11	0.2295245666
12	0.2126659927
13	0.1993832049
14	0.1898503154
15	0.1803690759
16	0.1740305625
17	0.1649509354
18	0.1592066707
19	0.1528070598
20	0.1459584201
21	0.1406193032
22	0.132616555
23	0.128878065
24	0.1202701351
25	0.1162667258
26	0.1112612536
27	0.1091740526
28	0.1071061034
29	0.1043175363
30	0.1025756706
31	0.09829890462
32	0.09307902669
33	0.09089310857
34	0.08838470911
35	0.08659251562
36	0.08364756535
37	0.08128294482
38	0.07832022829
39	0.07480640127
40	0.0715587116
41	0.06943071207
42	0.06554218934
43	0.06448393835
44	0.06312082374
45	0.06194627879
46	0.06057820641
47	0.05965355887
48	0.0575327936
49	0.05623906543
50	0.05537287869
51	0.05426488664
52	0.0530457515
53	0.05234691814
54	0.05134759216
55	0.05076532016
56	0.05006623798
57	0.04873380211
58	0.04858611638
59	0.0477055651
60	0.04713910968
61	0.04606949111
62	0.04525577498
63	0.04451043147
64	0.0433203856
65	0.04275488459
66	0.04221720649
67	0.04136386166
68	0.03974178082
69	0.03970257547
70	0.03866499856
71	0.03828965295
72	0.03769391513
73	0.03685755668
74	0.03562820892
75	0.03483342143
76	0.03429184025
77	0.0336506841
78	0.03327340366
79	0.03325017829
80	0.0327005347
81	0.03224113731
82	0.03180701153
83	0.03149861991
84	0.03075628819
85	0.0298722869
86	0.02957582362
87	0.0291604408
88	0.02866558146
89	0.02839039944
90	0.0273421884
91	0.02709593968
92	0.02683794272
93	0.02618365684
94	0.02613329374
95	0.02566243407
96	0.02537828165
97	0.02482312324
98	0.02436256161
99	0.02411608636
