iter	Passed	Remaining
0	2	283
1	5	257
2	7	233
3	9	218
4	10	208
5	12	200
6	14	195
7	16	189
8	18	191
9	21	191
10	23	187
11	25	183
12	26	180
13	28	176
14	30	173
15	32	170
16	35	171
17	37	170
18	39	167
19	41	164
20	42	161
21	44	158
22	46	156
23	48	153
24	50	152
25	53	151
26	55	149
27	57	147
28	59	144
29	60	142
30	62	139
31	64	137
32	67	136
33	69	134
34	71	132
35	73	129
36	74	127
37	76	125
38	78	122
39	80	120
40	82	119
41	85	117
42	86	115
43	88	113
44	90	110
45	92	108
46	94	106
47	96	104
48	98	102
49	100	100
50	102	98
51	104	96
52	106	94
53	108	92
54	109	89
55	111	87
56	113	85
57	115	83
58	118	82
59	120	80
60	122	78
61	124	76
62	126	74
63	128	72
64	130	70
65	132	68
66	135	66
67	136	64
68	138	62
69	140	60
70	142	58
71	144	56
72	146	54
73	148	52
74	151	50
75	153	48
76	154	46
77	156	44
78	158	42
79	160	40
80	162	38
81	164	36
82	166	34
83	168	32
84	171	30
85	172	28
86	174	26
87	176	24
88	179	22
89	181	20
90	184	18
91	186	16
92	188	14
93	189	12
94	192	10
95	193	8
96	196	6
97	198	4
98	200	2
99	202	0
